note_count,avg_pitch,avg_duration,avg_velocity,max_pitch,min_pitch,file_name,year
7894,64.03483658474791,0.23665903956591466,69.02584241195845,84,38,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_05_Track05_wav.midi,2004
1181,57.90685859441152,0.4014147615015529,55.91871295512278,91,24,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_06_Track06_wav.midi,2004
2850,67.60912280701754,0.1313285818713452,66.82175438596491,105,24,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_08_Track08_wav.midi,2004
6369,65.37352802637777,0.10674638221594177,70.7852096090438,101,24,MIDI-Unprocessed_SMF_02_R1_2004_01-05_ORIG_MID--AUDIO_02_R1_2004_10_Track10_wav.midi,2004
18947,65.78387079748772,0.15135449103639964,61.591967066026285,101,25,MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_02_Track02_wav.midi,2004
5938,64.44594139440889,0.09895149180419892,73.86426406197373,101,24,MIDI-Unprocessed_SMF_05_R1_2004_01_ORIG_MID--AUDIO_05_R1_2004_03_Track03_wav.midi,2004
10034,67.86306557703807,0.10262492940668412,66.84044249551525,105,26,MIDI-Unprocessed_SMF_05_R1_2004_02-03_ORIG_MID--AUDIO_05_R1_2004_06_Track06_wav.midi,2004
3547,63.68734141528052,0.38103268019922926,68.05553989286722,102,24,MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_02_Track02_wav.midi,2004
6106,62.809859154929576,0.44004548122065723,61.22109400589584,102,24,MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_04_Track04_wav.midi,2004
5271,61.703471826977804,0.2895532947574778,69.0311136406754,104,24,MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_06_Track06_wav.midi,2004
7516,64.88344864289516,0.19633504080184497,67.99427887174029,104,22,MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi,2004
7557,66.95064178906973,0.34187908010233303,59.007013365091964,89,29,MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_03_Track03_wav--1.midi,2004
